Data 4

1.1.1.1. pertama.satu.satu.satu
1.2.1.1. pertama.dua.satu.satu
1.3.1.1. pertama.tiga.satu.satu
1.4.1.1. pertama.empat.satu.satu
2.1.1.1. kedua.satu.satu.satu
2.2.1.1. kedua.dua.satu.satu
2.3.1.1. kedua.tiga.satu.satu
2.4.1.1. kedua.empat.satu.satu
3.1.1.1. ketiga.satu.satu.satu
3.2.1.1. ketiga.dua.satu.satu
3.3.1.1. ketiga.tiga.satu.satu
3.4.1.1. ketiga.empat.satu.satu
4.1.1.1. keempat.satu.satu.satu
4.2.1.1. keempat.dua.satu.satu
4.3.1.1. keempat.tiga.satu.satu
4.4.1.1. keempat.empat.satu.satu

1.1.2.1. pertama.satu.dua.satu
1.2.2.1. pertama.dua.dua.satu
1.3.2.1. pertama.tiga.dua.satu
1.4.2.1. pertama.empat.dua.satu
2.1.2.1. kedua.satu.dua.satu
2.2.2.1. kedua.dua.dua.satu
2.3.2.1. kedua.tiga.dua.satu
2.4.2.1. kedua.empat.dua.satu
3.1.2.1. ketiga.satu.dua.satu
3.2.2.1. ketiga.dua.dua.satu
3.3.2.1. ketiga.tiga.dua.satu
3.4.2.1. ketiga.empat.dua.satu
4.1.2.1. keempat.satu.dua.satu
4.2.2.1. keempat.dua.dua.satu
4.3.2.1. keempat.tiga.dua.satu
4.4.2.1. keempat.empat.dua.satu

1.1.3.1. pertama.satu.tiga.satu
1.2.3.1. pertama.dua.tiga.satu
1.3.3.1. pertama.tiga.tiga.satu
1.4.3.1. pertama.empat.tiga.satu
2.1.3.1. kedua.satu.tiga.satu
2.2.3.1. kedua.dua.tiga.satu
2.3.3.1. kedua.tiga.tiga.satu
2.4.3.1. kedua.empat.tiga.satu
3.1.3.1. ketiga.satu.tiga.satu
3.2.3.1. ketiga.dua.tiga.satu
3.3.3.1. ketiga.tiga.tiga.satu
3.4.3.1. ketiga.empat.tiga.satu
4.1.3.1. keempat.satu.tiga.satu
4.2.3.1. keempat.dua.tiga.satu
4.3.3.1. keempat.tiga.tiga.satu
4.4.3.1. keempat.empat.tiga.satu

1.1.4.1. pertama.satu.empat.satu
1.2.4.1. pertama.dua.empat.satu
1.3.4.1. pertama.tiga.empat.satu
1.4.4.1. pertama.empat.empat.satu
2.1.4.1. kedua.satu.empat.satu
2.2.4.1. kedua.dua.empat.satu
2.3.4.1. kedua.tiga.empat.satu
2.4.4.1. kedua.empat.empat.satu
3.1.4.1. ketiga.satu.empat.satu
3.2.4.1. ketiga.dua.empat.satu
3.3.4.1. ketiga.tiga.empat.satu
3.4.4.1. ketiga.empat.empat.satu
4.1.4.1. keempat.satu.empat.satu
