Data 3

1.1.1. pertama.satu.satu
1.2.1. pertama.dua.satu
1.3.1. pertama.tiga.satu
1.4.1. pertama.empat.satu
2.1.1. kedua.satu.satu
2.2.1. kedua.dua.satu
2.3.1. kedua.tiga.satu
2.4.1. kedua.empat.satu
3.1.1. ketiga.satu.satu
3.2.1. ketiga.dua.satu
3.3.1. ketiga.tiga.satu
3.4.1. ketiga.empat.satu
4.1.1. keempat.satu.satu
4.2.1. keempat.dua.satu
4.3.1. keempat.tiga.satu
4.4.1. keempat.empat.satu

1.1.2. pertama.satu.dua
1.2.2. pertama.dua.dua
1.3.2. pertama.tiga.dua
1.4.2. pertama.empat.dua
2.1.2. kedua.satu.dua
2.2.2. kedua.dua.dua
2.3.2. kedua.tiga.dua
2.4.2. kedua.empat.dua
3.1.2. ketiga.satu.dua
3.2.2. ketiga.dua.dua
3.3.2. ketiga.tiga.dua
3.4.2. ketiga.empat.dua
4.1.2. keempat.satu.dua
4.2.2. keempat.dua.dua
4.3.2. keempat.tiga.dua
4.4.2. keempat.empat.dua

1.1.3. pertama.satu.tiga
1.2.3. pertama.dua.tiga
1.3.3. pertama.tiga.tiga
1.4.3. pertama.empat.tiga
2.1.3. kedua.satu.tiga
2.2.3. kedua.dua.tiga
2.3.3. kedua.tiga.tiga
2.4.3. kedua.empat.tiga
3.1.3. ketiga.satu.tiga
3.2.3. ketiga.dua.tiga
3.3.3. ketiga.tiga.tiga
3.4.3. ketiga.empat.tiga
4.1.3. keempat.satu.tiga
4.2.3. keempat.dua.tiga
4.3.3. keempat.tiga.tiga
4.4.3. keempat.empat.tiga

1.1.4. pertama.satu.empat
1.2.4. pertama.dua.empat
1.3.4. pertama.tiga.empat
1.4.4. pertama.empat.empat
2.1.4. kedua.satu.empat
2.2.4. kedua.dua.empat
2.3.4. kedua.tiga.empat
2.4.4. kedua.empat.empat
3.1.4. ketiga.satu.empat
3.2.4. ketiga.dua.empat
3.3.4. ketiga.tiga.empat
3.4.4. ketiga.empat.empat
4.1.4. keempat.satu.empat
4.2.4. keempat.dua.empat
4.3.4. keempat.tiga.empat
4.4.4. keempat.empat.empat






